"Área de referencia","Fuente","Desajuste","Actividad económica","Año","Mujeres","Hombres"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Total","Total","2024","5927","7408.4"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Total","Agricultura","2024","19.2","61.5"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Total","Manufacturas","2024","449","961.9"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Total","Construcción","2024","52","1083.8"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Total","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2024","35.9","175.4"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Total","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2024","2215.8","3492.7"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Total","Administración pública y servicios y actividades comunales y sociales","2024","2993.9","1494.9"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Total","Sin clasificar","2024","161.2","138.1"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Poco educado","Total","2024","1456.9","2573"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Poco educado","Agricultura","2024","6.1","28.6"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Poco educado","Manufacturas","2024","121.5","372.2"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Poco educado","Construcción","2024","13.6","648.4"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Poco educado","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2024","5.4","62.8"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Poco educado","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2024","453.7","1120.1"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Poco educado","Administración pública y servicios y actividades comunales y sociales","2024","815.9","308"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Poco educado","Sin clasificar","2024","40.7","33"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Emparejado","Total","2024","3159.8","3381"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Emparejado","Agricultura","2024","9.8","20"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Emparejado","Manufacturas","2024","215.1","455.5"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Emparejado","Construcción","2024","25","374.6"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Emparejado","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2024","16.5","69.9"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Emparejado","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2024","1171.7","1634.1"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Emparejado","Administración pública y servicios y actividades comunales y sociales","2024","1653.1","780.5"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Emparejado","Sin clasificar","2024","68.5","46.4"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Sobre educado","Total","2024","789.1","788.5"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Sobre educado","Agricultura","2024","1.9","9.2"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Sobre educado","Manufacturas","2024","66.3","82.4"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Sobre educado","Construcción","2024","10.5","37.2"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Sobre educado","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2024","10.7","24.7"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Sobre educado","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2024","330.4","374.6"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Sobre educado","Administración pública y servicios y actividades comunales y sociales","2024","355.4","248.2"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Sobre educado","Sin clasificar","2024","13.9","12.2"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","No clasificado en otra parte","Total","2024","521.2","665.9"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","No clasificado en otra parte","Agricultura","2024","1.4","3.8"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","No clasificado en otra parte","Manufacturas","2024","46.1","51.8"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","No clasificado en otra parte","Construcción","2024","2.9","23.6"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","No clasificado en otra parte","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2024","3.3","18"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","No clasificado en otra parte","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2024","260","363.9"
