"Área de referencia","Fuente","Actividad económica","Año","Mujeres","Hombres"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Total","2024","5927","7408.4"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","A. Agricultura; ganadería; silvicultura y pesca","2024","19.2","61.5"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","B. Explotación de minas y canteras","2024","9.9","54.9"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","C. Industrias manufactureras","2024","449","961.9"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","D. Suministro de electricidad, gas; vapor y aire acondicionado","2024","9.7","43.5"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","E. Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación","2024","16.2","77"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","F. Construcción","2024","52","1083.8"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","G. Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas","2024","1069.9","1395.4"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","H. Transporte y almacenamiento","2024","86.3","652.8"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","I. Actividades de alojamiento y de servicio de comidas","2024","302.1","317.9"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","J. Información y comunicaciones","2024","102.3","230.4"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","K. Actividades financieras y de seguros","2024","135.8","166"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","L. Actividades inmobiliarias","2024","46.1","47.4"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","M. Actividades profesionales, científicas y técnicas","2024","278.6","287.4"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","N. Actividades de servicios administrativos y de apoyo","2024","194.7","395.5"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","O. Administración pública y defensa; planes de seguridad social de afiliación obligatoria","2024","459","564.3"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","P. Enseñanza","2024","685.2","225.1"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Q. Actividades de atención de la salud humana y de asistencia social","2024","642.1","272.2"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","R. Actividades artísticas, de entretenimiento y recreativas","2024","104.7","142.1"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","S. Otras actividades de servicios","2024","296.3","259.2"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","T. Actividades de los hogares como empleadores; actividades no diferenciadas de los hogares como productores de bienes y servicios para uso propio","2024","806.2","31.6"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","U. Actividades de organizaciones y órganos extraterritoriales","2024",,
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","X. No clasificados en otra parte","2024","161.2","138.1"
"Bahamas","EFT - Encuesta de fuerza laboral y hogares","Total","2019","101.7","109.6"
"Bahamas","EFT - Encuesta de fuerza laboral y hogares","A. Agricultura; ganadería; silvicultura y pesca","2019","0.1","1.8"
"Bahamas","EFT - Encuesta de fuerza laboral y hogares","B. Explotación de minas y canteras","2019","0.9","2.1"
"Bahamas","EFT - Encuesta de fuerza laboral y hogares","C. Industrias manufactureras","2019","2.2","3.8"
"Bahamas","EFT - Encuesta de fuerza laboral y hogares","D. Suministro de electricidad, gas; vapor y aire acondicionado","2019","0.3","1.3"
"Bahamas","EFT - Encuesta de fuerza laboral y hogares","E. Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación","2019","0.2","1.5"
"Bahamas","EFT - Encuesta de fuerza laboral y hogares","F. Construcción","2019","0.4","17.8"
"Bahamas","EFT - Encuesta de fuerza laboral y hogares","G. Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas","2019","15","15.6"
"Bahamas","EFT - Encuesta de fuerza laboral y hogares","H. Transporte y almacenamiento","2019","4.2","9.4"
"Bahamas","EFT - Encuesta de fuerza laboral y hogares","I. Actividades de alojamiento y de servicio de comidas","2019","22.5","16.9"
"Bahamas","EFT - Encuesta de fuerza laboral y hogares","J. Información y comunicaciones","2019","2","2.5"
"Bahamas","EFT - Encuesta de fuerza laboral y hogares","K. Actividades financieras y de seguros","2019","5.9","1.9"
"Bahamas","EFT - Encuesta de fuerza laboral y hogares","L. Actividades inmobiliarias","2019","0.5","0.9"
"Bahamas","EFT - Encuesta de fuerza laboral y hogares","M. Actividades profesionales, científicas y técnicas","2019","2.4","2.2"
"Bahamas","EFT - Encuesta de fuerza laboral y hogares","N. Actividades de servicios administrativos y de apoyo","2019","2.6","8.1"
"Bahamas","EFT - Encuesta de fuerza laboral y hogares","O. Administración pública y defensa; planes de seguridad social de afiliación obligatoria","2019","11.9","11.7"
"Bahamas","EFT - Encuesta de fuerza laboral y hogares","P. Enseñanza","2019","10.3","2.4"
"Bahamas","EFT - Encuesta de fuerza laboral y hogares","Q. Actividades de atención de la salud humana y de asistencia social","2019","5.3","1.7"
"Bahamas","EFT - Encuesta de fuerza laboral y hogares","R. Actividades artísticas, de entretenimiento y recreativas","2019","3.5","3.2"
"Bahamas","EFT - Encuesta de fuerza laboral y hogares","S. Otras actividades de servicios","2019","5.6","2"
"Bahamas","EFT - Encuesta de fuerza laboral y hogares","T. Actividades de los hogares como empleadores; actividades no diferenciadas de los hogares como productores de bienes y servicios para uso propio","2019","4.5","1.8"
"Bahamas","EFT - Encuesta de fuerza laboral y hogares","U. Actividades de organizaciones y órganos extraterritoriales","2019","0.8","0.6"
"Bahamas","EFT - Encuesta de fuerza laboral y hogares","X. No clasificados en otra parte","2019","0.3","0.4"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Total","2019","65.2","101.1"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","A. Agricultura; ganadería; silvicultura y pesca","2019","4.6","23.3"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","B. Explotación de minas y canteras","2019",,"0.2"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","C. Industrias manufactureras","2019","5.2","8.1"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","D. Suministro de electricidad, gas; vapor y aire acondicionado","2019","0.2","0.9"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","F. Construcción","2019","0.1","11.3"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","G. Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas","2019","13.1","15.3"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","H. Transporte y almacenamiento","2019","1","4"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","K. Actividades financieras y de seguros","2019","2.1","1.4"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","L. Actividades inmobiliarias","2019","3.5","4.9"
