"Área de referencia","Fuente","Tipo de hogar","Presencia de niños menores de 6 años","Año","Mujeres","Hombres"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Total","Presencia de niños menores de 6 años: Total","2024","33.1","42"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Total","Presencia de niños menores de 6 años: Si","2024","31","43.2"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Total","Presencia de niños menores de 6 años: No","2024","33.8","41.6"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Una persona","Presencia de niños menores de 6 años: Total","2024","36.4","39.8"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Una persona","Presencia de niños menores de 6 años: No","2024","36.4","39.8"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Pareja sin hijos","Presencia de niños menores de 6 años: Total","2024","35.3","41.7"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Pareja sin hijos","Presencia de niños menores de 6 años: No","2024","35.3","41.7"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Pareja con hijos","Presencia de niños menores de 6 años: Total","2024","32","42.9"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Pareja con hijos","Presencia de niños menores de 6 años: Si","2024","30.4","43.3"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Pareja con hijos","Presencia de niños menores de 6 años: No","2024","32.8","42.6"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Padre solo","Presencia de niños menores de 6 años: Total","2024","33.5","39.7"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Padre solo","Presencia de niños menores de 6 años: Si","2024","29.9","37.4"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Padre solo","Presencia de niños menores de 6 años: No","2024","34.4","40"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Familia extendida","Presencia de niños menores de 6 años: Total","2024","33","41.6"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Familia extendida","Presencia de niños menores de 6 años: Si","2024","32.8","43"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Familia extendida","Presencia de niños menores de 6 años: No","2024","33.2","40.9"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Total","Número de niños menores de 6 años: Total","2024","33.1","42"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Total","Número de niños menores de 6 años: 0","2024","33.8","41.6"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Total","Número de niños menores de 6 años: 1","2024","30.9","43"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Total","Número de niños menores de 6 años: 2","2024","32.6","44.1"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Total","Número de niños menores de 6 años: 3+","2024","27.7","39.2"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Una persona","Número de niños menores de 6 años: Total","2024","36.4","39.8"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Una persona","Número de niños menores de 6 años: 0","2024","36.4","39.8"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Pareja sin hijos","Número de niños menores de 6 años: Total","2024","35.3","41.7"
