"Área de referencia","Fuente","Actividad económica","Año","Mujeres","Hombres"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","A. Agricultura; ganadería; silvicultura y pesca","2024","31","44.2"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","B. Explotación de minas y canteras","2024","46","54.3"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","C. Industrias manufactureras","2024","32.6","42.1"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","D. Suministro de electricidad, gas; vapor y aire acondicionado","2024","37.6","42.1"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","E. Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación","2024","37.7","39.1"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","F. Construcción","2024","36.1","37.5"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","G. Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas","2024","39.4","43.6"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","H. Transporte y almacenamiento","2024","39.2","45.2"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","J. Información y comunicaciones","2024","36.3","38.7"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","K. Actividades financieras y de seguros","2024","37.2","37.8"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","L. Actividades inmobiliarias","2024","39.4","39.7"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","M. Actividades profesionales, científicas y técnicas","2024","33.4","37.5"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","N. Actividades de servicios administrativos y de apoyo","2024","33.4","38.7"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","O. Administración pública y defensa; planes de seguridad social de afiliación obligatoria","2024","34.9","39.8"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","P. Enseñanza","2024","25.4","28"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","Q. Actividades de atención de la salud humana y de asistencia social","2024","32.5","36.4"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","R. Actividades artísticas, de entretenimiento y recreativas","2024","30.4","32.3"
"Argentina","EFT - Encuesta Permanente de Hogares, Urbano","S. Otras actividades de servicios","2024","25.7","35.3"
