country_code,country_name,year,indicator_code,indicator_name,value
VEN,"Venezuela, RB",2020,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",36.887
URY,Uruguay,2020,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",54.231
PER,Peru,2020,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",59.864
PRY,Paraguay,2020,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",57.105
PAN,Panama,2020,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",55.932
NIC,Nicaragua,2020,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",48.119
MEX,Mexico,2020,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",41.704
HND,Honduras,2020,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",47.039
GTM,Guatemala,2020,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",38.299
SLV,El Salvador,2020,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",43.207
ECU,Ecuador,2020,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",48.241
DOM,Dominican Republic,2020,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",47.412
CUB,Cuba,2020,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",42.291
CRI,Costa Rica,2020,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",48.644
COL,Colombia,2020,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",51.108
CHL,Chile,2020,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",45.442
BRA,Brazil,2020,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",50.338
BOL,Bolivia,2020,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",65.02
ARG,Argentina,2020,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",46.486
VEN,"Venezuela, RB",2021,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",37.368
URY,Uruguay,2021,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",56.034
PER,Peru,2021,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",64.845
PRY,Paraguay,2021,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",59.85
PAN,Panama,2021,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",48.894
NIC,Nicaragua,2021,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",49.078
MEX,Mexico,2021,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",44.615
HND,Honduras,2021,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",48.071
GTM,Guatemala,2021,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",42.496
SLV,El Salvador,2021,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",45.217
ECU,Ecuador,2021,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",53.63
DOM,Dominican Republic,2021,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",51.06
CUB,Cuba,2021,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",42.429
CRI,Costa Rica,2021,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",50.251
COL,Colombia,2021,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",51.679
CHL,Chile,2021,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",46.579
BRA,Brazil,2021,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",52.482
BOL,Bolivia,2021,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",71.057
ARG,Argentina,2021,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",50.26
VEN,"Venezuela, RB",2022,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",35.32
URY,Uruguay,2022,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",55.656
PER,Peru,2022,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",66.725
PRY,Paraguay,2022,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",58.986
PAN,Panama,2022,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",52.137
NIC,Nicaragua,2022,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",50.144
MEX,Mexico,2022,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",46.004
HND,Honduras,2022,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",43.606
GTM,Guatemala,2022,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",40.502
SLV,El Salvador,2022,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",46.028
ECU,Ecuador,2022,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",54.244
DOM,Dominican Republic,2022,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",50.478
CUB,Cuba,2022,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",41.921
CRI,Costa Rica,2022,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",50.283
COL,Colombia,2022,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",50.922
CHL,Chile,2022,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",50.025
BRA,Brazil,2022,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",53.864
BOL,Bolivia,2022,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",71.715
ARG,Argentina,2022,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",51.868
VEN,"Venezuela, RB",2023,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",36.158
URY,Uruguay,2023,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",56.518
PER,Peru,2023,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",65.083
PRY,Paraguay,2023,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",58.994
PAN,Panama,2023,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",52.694
NIC,Nicaragua,2023,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",50.728
MEX,Mexico,2023,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",47.317
HND,Honduras,2023,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",39.364
GTM,Guatemala,2023,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",38.14
SLV,El Salvador,2023,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",48.521
ECU,Ecuador,2023,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",52.521
DOM,Dominican Republic,2023,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",52.482
CUB,Cuba,2023,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",41.159
CRI,Costa Rica,2023,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",44.088
COL,Colombia,2023,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",51.833
CHL,Chile,2023,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",51.963
BRA,Brazil,2023,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",53.205
BOL,Bolivia,2023,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",72.455
ARG,Argentina,2023,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",52.958
VEN,"Venezuela, RB",2024,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",37.332
URY,Uruguay,2024,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",57.264
PER,Peru,2024,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",64.939
PRY,Paraguay,2024,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",58.944
PAN,Panama,2024,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",54.832
NIC,Nicaragua,2024,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",51.082
MEX,Mexico,2024,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",47.414
HND,Honduras,2024,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",39.617
GTM,Guatemala,2024,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",38.42
SLV,El Salvador,2024,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",48.957
ECU,Ecuador,2024,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",52.394
DOM,Dominican Republic,2024,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",53.266
CUB,Cuba,2024,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",40.393
CRI,Costa Rica,2024,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",45.982
COL,Colombia,2024,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",51.719
CHL,Chile,2024,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",52.784
BRA,Brazil,2024,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",53.576
BOL,Bolivia,2024,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",72.389
ARG,Argentina,2024,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population 15+)",52.281
VEN,"Venezuela, RB",2020,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",60.016
URY,Uruguay,2020,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",68.6
PER,Peru,2020,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",78.185
PRY,Paraguay,2020,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",83.201
PAN,Panama,2020,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",77.026
NIC,Nicaragua,2020,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",81.622
MEX,Mexico,2020,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",72.492
HND,Honduras,2020,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",71.951
GTM,Guatemala,2020,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population 15+)",79.985
