country_code,country_name,AG.LND.AGRI.ZS,HD_HCIP_EDUC_FE,HD_HCIP_EDUC_MA,HD_HCIP_EDUC_TO,HD_HCIP_HLTH_FE,HD_HCIP_HLTH_MA,HD_HCIP_HLTH_TO,HD_HCIP_OTJL_FE,HD_HCIP_OTJL_MA,HD_HCIP_OTJL_TO,HD_HCIP_OVRL_FE,HD_HCIP_OVRL_MA,HD_HCIP_OVRL_TO,IC.FRM.FEMM.ZS,IC.FRM.FEMO.ZS,IT.NET.USER.FE.ZS,IT.NET.USER.MA.ZS,SE.ADT.LITR.FE.ZS,SE.ADT.LITR.MA.ZS,SE.PRE.ENRR,SE.PRE.ENRR.FE,SE.PRM.CMPT.FE.ZS,SE.PRM.CMPT.MA.ZS,SE.PRM.CUAT.FE.ZS,SE.PRM.CUAT.MA.ZS,SE.PRM.PRSL.FE.ZS,SE.PRM.PRSL.MA.ZS,SE.PRM.UNER.FE.ZS,SE.PRM.UNER.MA.ZS,SE.SEC.CUAT.UP.FE.ZS,SE.SEC.CUAT.UP.MA.ZS,SE.SEC.DURS,SE.SEC.ENRR.FE,SE.SEC.UNER.LO.FE.ZS,SE.SEC.UNER.LO.MA.ZS,SE.TER.CUAT.BA.FE.ZS,SE.TER.CUAT.BA.MA.ZS,SE.TER.CUAT.DO.FE.ZS,SE.TER.CUAT.DO.MA.ZS,SE.TER.CUAT.MS.FE.ZS,SE.TER.CUAT.MS.MA.ZS,SE.TER.ENRR.FE,SG.GEN.PARL.ZS,SG.LAW.INDX,SG.TIM.UWRK.FE,SG.TIM.UWRK.MA,SH.STA.MMRT,SL.AGR.EMPL.FE.ZS,SL.EMP.MPYR.FE.ZS,SL.EMP.MPYR.MA.ZS,SL.EMP.SELF.FE.ZS,SL.EMP.SELF.MA.ZS,SL.EMP.SMGT.FE.ZS,SL.EMP.VULN.FE.ZS,SL.EMP.VULN.MA.ZS,SL.EMP.WORK.FE.ZS,SL.EMP.WORK.MA.ZS,SL.FAM.WORK.FE.ZS,SL.FAM.WORK.MA.ZS,SL.IND.EMPL.FE.ZS,SL.IND.EMPL.MA.ZS,SL.SRV.EMPL.FE.ZS,SL.SRV.EMPL.MA.ZS,SL.TLF.ACTI.FE.ZS,SL.TLF.ACTI.MA.ZS,SL.TLF.ADVN.FE.ZS,SL.TLF.ADVN.MA.ZS,SL.TLF.BASC.FE.ZS,SL.TLF.BASC.MA.ZS,SL.TLF.CACT.FE.ZS,SL.TLF.CACT.MA.ZS,SL.TLF.INTM.FE.ZS,SL.TLF.INTM.MA.ZS,SL.TLF.PART.FE.ZS,SL.TLF.PART.MA.ZS,SL.UEM.TOTL.FE.ZS,SL.UEM.TOTL.MA.ZS,SP.ADO.TFRT,SP.DYN.TFRT.IN
ARG,Argentina,42.4367915620695,113.790445598139,105.564181542896,109.745516641152,45.8927863454819,44.0315811610222,44.9460708546639,29.8082930110107,50.6413575054481,39.9769663420613,189.491524954631,200.237120209366,194.668553837877,,,89.03,89.44,99.1600036621094,99.129997253418,76.186653137207,76.7102203369141,99.9205861634904,98.0214785783287,,,95.2829284667969,96.0056381225586,,,,,6.0,107.980730920017,,,,,,,,,140.19173357234,42.4124513618677,79.375,,,33.0,3.77198885814207,2.28719510880594,4.05180884035946,22.9167785928475,27.8063502890913,36.39,20.6295834840415,23.7545414487319,77.0832214071525,72.1936497109086,0.407291530145242,0.199337719858277,9.77394621156298,29.5288493551456,86.4540535238065,60.6419941290969,61.472,79.434,74.044,85.313,32.668,58.584,52.281,71.769,54.477,73.206,55.63,30.56,7.912,6.576,26.414,1.5
BOL,Bolivia,35.8307014677375,,,,42.1106835508347,39.5540241193771,40.7957483625412,30.050728452891,48.3770886979283,39.0642734606391,,,,,,63.7076,68.3228,93.5,97.7699966430664,78.4713287353516,79.0607070922852,96.3125288628264,96.0972146824237,65.9319305419922,76.7730484008789,97.0146713256836,96.7354125976562,3.93311129895909,4.37248437306791,50.9060592651367,56.8492698669434,6.0,91.2883197233107,7.23439979553223,7.55647993087769,20.1349601745606,20.1010704040527,0.0467734215486534,0.0691044098990533,1.34812917233391,1.86824231282822,,46.1538461538462,88.75,,,146.0,24.8130210968031,2.05352439014801,4.89090676657939,70.0444529482841,63.4696339380396,22.268,67.9909285581361,58.5787553296394,29.9555470517159,36.5303660619604,24.0460373708807,10.5795347480378,12.3824133023351,26.4605506726144,62.8045983639428,48.5227937644275,74.339,85.874,82.318,91.951,67.189,79.661,72.389,84.324,70.817,84.694,50.66,29.31,3.678,2.924,64.848,2.547
BRA,Brazil,28.3267329812614,115.880226690382,111.204577999123,102.328545744465,46.0789897298813,42.9405802989006,44.4899523890019,30.2734776882979,49.030501942028,39.5775172686759,192.232694108561,203.175660240051,186.396015402143,,,85.6558,82.5526,95.0868612669902,94.4939325204804,85.9419708251953,85.7253799438477,,,86.7395699593057,84.8108265024454,,,3.70276999473572,4.25298976898193,63.1213489971588,60.2071521618891,7.0,108.78392791748,2.4329400062561,5.15146017074585,,,,,,,71.9278106689453,17.5438596491228,85.0,,,67.0,3.22682647872417,2.96151990276055,5.08305905775716,24.8610613258972,34.7009090255603,38.134,21.8995437571224,29.6178482344143,75.1389386741028,65.2990944412175,1.90245517101791,0.812411661082872,10.6062922718391,27.5031367406768,86.1668789154509,61.4474810183508,61.393,80.733,77.966,88.032,37.088,64.874,53.576,73.602,64.139,84.075,32.71,19.49,8.374,5.597,42.686,1.619
CHL,Chile,14.4010249751882,133.112289897816,130.29399409306,131.673693684771,47.7276120078564,46.1107807087898,46.9203751158714,32.0026040816668,50.8306370492503,41.4831035909238,212.842505987339,227.235411851101,220.077172391567,,,93.2,95.1,,,84.5110778808594,83.7505569458008,99.1959381103516,102.558662414551,91.7357324893817,93.3817827687782,97.4301605224609,100.0,2.23217010498047,0.459780007600784,69.4026000995014,70.305771026885,6.0,104.630210876465,1.48892998695373,0.105290003120899,21.709062096362,22.8573694742238,0.144533404238117,0.328544509928314,3.02283141662137,3.60419512443542,114.003547668457,35.4838709677419,80.0,,,10.0,3.47938632107062,1.75497255260981,3.89968165826006,22.8629921768503,24.9166059365808,31.603,21.1080196242405,21.0169242783208,77.1370078231497,75.0833940634192,0.79960048994992,0.460331877735764,10.4798713250602,29.9352607662662,86.0407423538692,61.8125309276459,61.791,79.393,79.952,89.941,29.621,55.777,52.784,72.019,57.133,76.203,36.78,23.05,9.506,8.127,6.542,1.167
COL,Colombia,36.4876070301938,108.142061894665,104.91125369844,106.502839712495,45.706917951107,43.0576757276058,44.3772556042671,23.5454646338935,49.225277476567,36.0167332843372,177.394444479666,197.194206902613,186.896828601099,24.5977459,62.49706268,73.5883,71.9583,95.6900024414062,94.9700012207031,85.9283218383789,86.6674423217773,96.7505111694336,97.4682006835938,83.6072311401367,82.4756317138672,92.941520690918,89.8387832641602,6.78859996795654,7.83769989013672,58.9675407409668,58.6467514038086,6.0,103.587738037109,3.70739006996155,5.13883018493652,17.9407901763916,17.3800601959229,0.123121944289939,0.213690663612991,4.63183923698706,4.5632757287225,64.3223495483398,29.4117647058824,84.375,17.64085,5.23624,59.0,5.9156424672652,1.88887548434664,3.1657176263373,42.7911266187173,47.7634745226191,43.491,40.9022511343707,44.5977568962818,57.2088631920191,52.2365254773809,3.14253190156519,1.23392377270657,13.3097574129702,24.5979580224906,80.7746001197646,55.463770462617,57.532,80.667,76.368,87.0,35.796,66.896,51.719,75.862,56.164,81.093,30.79,16.14,11.908,7.989,59.473,1.645
CRI,Costa Rica,33.1439992166079,109.21229267493,104.523278221936,106.928730951718,46.7060029006004,44.4779567670822,45.5847131037712,26.2335228785325,54.0522952181335,40.2826016475083,182.151818454063,203.053530207152,192.796045702997,25.26070213,53.00868225,85.4503,84.7689,,,95.2350387573242,95.7561798095703,101.239471435547,100.115936279297,86.5713581352894,86.8137627890855,97.8667221069336,96.9493865966797,4.95712995529175,4.50688982009888,44.0235520235762,41.3,5.0,130.602096557617,6.33165979385376,6.38086986541748,22.5300006866455,20.5400009155273,0.129999995231628,0.330000013113022,2.75,2.99000000953674,,49.1228070175439,91.875,,,24.0,6.5004314887974,2.35414068200775,3.78858820015674,23.4765446688087,29.0560978731718,50.069,21.122403986801,25.2674348189617,76.5234553311913,70.9439021268282,1.56068998224065,0.557363280942981,11.6557507960607,23.2916620818559,81.8439287804694,61.3802488597856,53.114,77.089,69.62,75.472,36.356,67.888,45.982,69.857,53.387,73.448,31.44,16.22,7.779,6.359,26.251,1.33
CUB,Cuba,61.6666666666667,130.492082854672,124.568583107942,127.708946605331,46.3527747666836,44.3178331160545,45.3367392611504,,,,,,,,,,,,,99.6210021972656,99.2024612426758,91.972846128059,90.3748177642614,,,89.1758117675781,88.8811492919922,4.27598988262446,5.06443897234296,,,6.0,92.6143549896492,7.96841854625741,7.39833440367923,,,,,,,57.6435522445056,55.7446808510638,,,,35.0,6.56147807201809,3.19060621624335,7.04595147116258,18.9235899949914,28.7737675163012,,15.7329837787481,21.72785021412,81.0763568919739,71.2262324836988,0.631513981740801,0.432442627717673,10.9264134839123,20.8426073675183,82.5120553310349,57.342814089926,50.631,77.288,,,,,40.393,65.418,,,,,1.885,1.672,48.674,1.439
DOM,Dominican Republic,55.3530808941944,90.6201806300454,79.5709505280822,85.2041049551651,45.5208948898315,42.735266007185,44.1164935326576,30.2238836674137,53.4502009620224,41.5403125123573,166.364959187291,175.75641749729,170.86091100018,,,85.6334,83.0708,94.4300003051758,93.5999984741211,33.3575210571289,33.9447784423828,90.6907067002175,89.2913774995367,76.5,74.9,93.3446578979492,91.1613693237305,4.8085804461404,5.042324135918,48.7,39.7,6.0,80.5245385688015,8.15746247118307,11.3959887447025,,,,,,,76.5868490240802,36.8421052631579,86.25,14.49101,5.90428,124.0,1.30679322992892,2.04888633276589,5.47492328331063,31.4801922089179,49.5599634143068,47.415,29.431305876152,44.0850401309962,68.5198077910821,50.4400365856932,1.80134600055639,0.666503859895389,8.05923091485136,26.5567829720648,90.6339758552197,62.2463740835978,58.575,80.076,80.466,88.355,44.07,76.248,53.266,76.371,59.559,78.119,34.67,24.03,8.215,3.227,52.774,2.243
ECU,Ecuador,21.5413110001611,106.116308776568,101.593001441828,103.89967979544,43.4951995718479,40.8621875846386,42.1586819672585,24.6475040402892,55.4147819315307,39.8283852196112,174.259012388705,197.869970957998,185.886746982309,21.04698563,55.66672134,72.9855,72.3919,95.7200012207031,96.8499984741211,55.2859191894531,56.5360488891602,101.454909431404,99.0009435533108,82.9991715956203,86.0339488661541,94.0874481201172,94.6225509643555,3.16523749663284,6.21452672056476,45.8308097029595,47.235486581075,6.0,94.1827583420861,12.6213326713594,14.5750060729192,18.25,15.7700004577637,0.189999997615814,0.280000001192093,2.94000005722046,3.0,76.0744634319622,43.0656934306569,89.375,,,55.0,30.7143610713485,1.51369279009154,2.65103901296038,60.7048372563342,46.631283696931,39.113,59.1911444662427,43.9802446839706,39.2951627436658,53.368716303069,22.4878199514701,8.1371884668042,9.15615078758837,21.7729188463647,60.1294593159572,44.3575634847121,55.694,80.305,73.242,81.91,46.79,72.029,52.394,76.948,52.758,84.268,55.17,39.08,4.36,2.822,55.531,1.823
GTM,Guatemala,43.0384471817842,63.6586392292922,65.0243144814578,64.3290097340159,37.7018356990814,34.7821877038479,36.2664417457581,10.7910384646116,62.1230669424349,34.8208667169211,112.151513392985,161.929569127741,135.416318196695,,,48.5503,53.3763,78.4599990844727,86.870002746582,49.8383483886719,50.3819198608398,87.7571641371264,85.2935657448308,50.4160385131836,60.0455513000488,88.302116394043,85.0066375732422,8.3632286043163,8.49924088107357,17.2903995513916,18.7887096405029,6.0,50.4821609334209,33.412391427768,31.3747335453473,4.71776008605957,5.55409002304077,,,0.392080238531779,0.40136927317032,30.5259191296939,20.0,73.75,,,94.0,15.9749031102918,2.20695322684489,3.25756609643876,54.1265740118173,32.1341746067411,39.812,51.9196207849724,28.8766287526847,45.8734259881827,67.8658051508766,11.8193272408447,5.36985868792927,18.9824083377613,24.2448275652665,65.0426885519469,39.8093774860176,40.386,83.775,84.89,89.966,49.7,83.551,38.42,81.799,70.34,90.815,47.54,22.72,3.322,2.268,68.269,2.311
