,Agricultural land (% of land area),"Human capital index plus (HCI+): education pillar score, female (scale 0-188)","Human capital index plus (HCI+): education pillar score, male (scale 0-188)","Human capital index plus (HCI+): education pillar score, total (scale 0-188)","Human capital index plus (HCI+): health pillar score, female (scale 0-50)","Human capital index plus (HCI+): health pillar score, male (scale 0-50)","Human capital index plus (HCI+): health pillar score, total (scale 0-50)","Human capital index plus (HCI+): on-the-job learning pillar score, female (scale -30-87)","Human capital index plus (HCI+): on-the-job learning pillar score, male (scale -30-87)","Human capital index plus (HCI+): on-the-job learning pillar score, total (scale -30-87)","Human capital index plus (HCI+): overall score, female (scale 0-325)","Human capital index plus (HCI+): overall score, male (scale 0-325)","Human capital index plus (HCI+): overall score, total (scale 0-325)",Firms with female top manager (% of firms),Firms with female participation in ownership (% of firms),"Individuals using the Internet, female (% of female population)","Individuals using the Internet, male (% of male population)","Literacy rate, adult female (% of females 15+)","Literacy rate, adult male (% of males ages 15 and above)","School enrollment, preprimary (% gross)","School enrollment, preprimary, female (% gross)","Primary completion rate, female (% of relevant age group)","Primary completion rate, male (% of relevant age group)","Educational attainment, at least completed primary, population 25+, female (%) (cumulative)","Educational attainment, at least completed primary, population 25+, male (%) (cumulative)","Persistence to last grade of primary, female (% of cohort)","Persistence to last grade of primary, male (% of cohort)","Children out of school, female (% of female primary school age)","Children out of school, male (% of male primary school age)","Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)","Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)","Secondary education, duration (years)","School enrollment, secondary, female (gross %)","Adolescents out of school, female (% of female lower secondary school age)","Adolescents out of school, male (% of male lower secondary school age)","Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)","Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)","Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)","Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)","Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)","Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)","School enrollment, tertiary, female (gross %)",Proportion of seats held by women in national parliaments (%),Women Business and the Law Index Score (scale 1-100),"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)","Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)","Maternal mortality ratio (per 100,000 live births)","Employment in agriculture, female (% of female employment)","Employers, female (% of female employment)","Employers, male (% of male employment) (modeled ILO estimate)","Self-employed, female (% of female employment)","Self-employed, male (% of male employment) (modeled ILO estimate)",Female share of employment in senior and middle management (%),"Vulnerable employment, female (% of female employment)","Vulnerable employment, male (% of male employment)","Wage & salaried workers, female (% of female employment)","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","Contributing family workers, female (% of female employment) (modeled ILO estimate)","Contributing family workers, male (% of male employment) (modeled ILO estimate)","Employment in industry, female (% of female employment)","Employment in industry, male (% of male employment) (modeled ILO estimate)","Employment in services, female (% of female employment)","Employment in services, male (% of male employment) (modeled ILO estimate)","Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","Labor force with advanced education, female (% of female working-age population with advanced education)","Labor force with advanced education, male (% of male working-age population with advanced education)","Labor force with basic education, female (% of female working-age population with basic education)","Labor force with basic education, male (% of male working-age population with basic education)","Labor force participation rate, female (% of female population 15+)","Labor force participation rate, male (% of male population 15+)","Labor force with intermediate education, female (% of female working-age population with intermediate education)","Labor force with intermediate education, male (% of male working-age population with intermediate education)","Part time employment, female (% of total female employment)","Part time employment, male (% of total male employment)","Unemployment rate, female (% of female labor force)","Unemployment rate, male (% of male labor force)","Adolescent fertility rate (births per 1,000 women ages 15-19)","Fertility rate, total (births per woman)"
Agricultural land (% of land area),1.0,-0.08725302676032545,-0.15769992260644236,-0.09704841166755813,0.043601961539513324,-0.06683526796834137,-0.00964082874069482,0.019492398470186537,0.19564314520337317,0.0858130399647168,-0.15235655816573163,-0.29779176832535964,-0.19639698990797982,-0.33544869815047634,-0.18769537554057944,-0.013879580059022921,-0.07605255366645952,0.14419624857405874,0.04093922890457433,0.08158239840875427,0.1170885563522748,-0.13310119628702982,-0.14252364962922964,-0.034134097434677914,-0.09046064438835716,0.10769646470856525,0.045687424207391886,0.18853484476224483,0.19630179208480236,-0.44670061370243225,-0.5492317764833973,0.23478779139921432,-0.097209738544745,0.06582357379124194,0.12210193779452802,-0.3351690803526917,-0.44010393561472533,-0.20045244873645493,-0.1823560012531073,0.12610130250075263,0.22737461487262636,-0.13018256830971245,0.11177590483741363,0.17328370243681665,-1.0000000000000002,1.0000000000000007,-0.1818837921730934,-0.33879476019870924,0.09189561289431071,0.2629172997142293,-0.2964207675385724,-0.24801681821546326,-0.014722862113246983,-0.3057052640446994,-0.29425609748778153,0.29642035532569755,0.24801703228917546,-0.3656196051739512,-0.3010395942666694,0.03209932099480523,0.2149961800174764,0.3101149439655284,0.032343856085874485,0.09551184244055186,0.1959930819657958,-0.1146984553619398,0.08038160534311818,0.14931746542995228,0.3562228920657287,-0.044526420838457384,-0.03006020257855832,0.17469204887649226,-0.024131451642453342,0.04231750003946193,-0.09273501304232797,-0.17009705070167927,-0.22454051830009322,0.02863961923117986,-0.03744205260887579
"Human capital index plus (HCI+): education pillar score, female (scale 0-188)",-0.08725302676032545,1.0,0.9853500576308983,0.9860380612735217,0.7635685378169603,0.797997441704756,0.7966778139567217,0.691558957987506,-0.6655242859732357,0.47409174516075886,0.969271202063658,0.968439488710723,0.9710982101978259,-0.315719871440192,-0.30789636039300633,0.8075679617670969,0.8435602820091394,0.7877895511692856,0.8680992190795057,0.7774841574926578,0.7662147581465321,0.7122654351049256,0.7445645111592172,0.8082718691636835,0.8756513808765278,0.45877883522681256,0.5431105576281594,-0.668070738939733,-0.6759755553303007,0.8163900004057276,0.8061820926103644,0.2290998948164382,0.8084843080608066,-0.8632255650616344,-0.78923042326831,0.8329972007965606,0.8681350222158362,0.3974114029162463,0.5886369814065229,0.2329001812915303,0.5171936457836163,0.6030033488795953,0.4232861768882952,0.39770793301716556,1.0000000000000002,-1.0000000000000002,-0.5292029222363486,-0.1252314129455316,-0.3893891380551324,-0.2758510600770038,-0.6356194046607573,-0.30034069782162176,-0.5708708522477017,-0.6069306065882512,-0.21663216315268044,0.6356193185662229,0.30034130910406304,-0.33231536375503373,-0.45185692526001164,-0.5461380959482394,0.1823587020229405,0.3479810811640046,0.6231595275208444,0.5741245343070286,-0.1572439717133915,-0.11899381668948864,-0.19032632577443873,-0.2216672186053702,-0.7281882857658091,0.3492266891543846,-0.5784503512824124,-0.13871824824312315,-0.3790518857939256,0.15763753401799852,0.12751234063057096,0.15885827815572168,0.3680182525621426,-0.6984704342339297,-0.8133870257819044
"Human capital index plus (HCI+): education pillar score, male (scale 0-188)",-0.15769992260644236,0.9853500576308983,1.0,0.986351189238263,0.6754811996441211,0.72018816974566,0.7128609305291403,0.6328078258759673,-0.5872855341853835,0.4462647211881367,0.9315579926420791,0.9878712147549353,0.9565687227934833,-0.2883688258789166,-0.3631479058321492,0.6983499175996298,0.7502858584873469,0.6589495185842873,0.8090467101085871,0.8182336049447632,0.8044741485557315,0.7278162899735896,0.7625755511282069,0.723854488340162,0.8261091545182481,0.4800912228982341,0.5609054714350187,-0.6866655404560494,-0.6962629699461723,0.779827089369584,0.8158855925857208,0.19301797592910522,0.7970452956372984,-0.8478778929090716,-0.7845499354018898,0.8067759550182549,0.8874426891314097,0.48010765622849083,0.6384949560866685,0.12499991518336179,0.46914232354003615,0.5292018870763449,0.4224268569085892,0.3975972814791914,1.0000000000000009,-1.0000000000000009,-0.5328743930021533,-0.04511840252657598,-0.40232969684702713,-0.29956291865508566,-0.5573221017481583,-0.3026575985053587,-0.6227714984049975,-0.5263170569868296,-0.21270052133125972,0.5573220408844878,0.3026582059415736,-0.24951915411332962,-0.368658967582827,-0.4549662135767139,0.1607718696666736,0.23373251950097743,0.5427733907731387,0.5341625602369059,-0.09252108026982385,-0.07799154296132829,-0.16389585010491203,-0.1559027772078448,-0.6735824814330692,0.3364001702808644,-0.5041946742538945,-0.09380155030810504,-0.2769611705899053,0.16691244973115746,0.10384862700779841,0.09780814567966566,0.3381438398629559,-0.6725791823454175,-0.7984539505132625
"Human capital index plus (HCI+): education pillar score, total (scale 0-188)",-0.09704841166755813,0.9860380612735217,0.986351189238263,1.0,0.7134782753904455,0.7632450909976974,0.7545522628968299,0.6616898526456632,-0.5772667935726413,0.48178360822097077,0.9442932531842276,0.9818059126456341,0.9807480098804164,-0.3025287947295184,-0.3377117129679025,0.7414866535264045,0.7968217939050396,0.7375175043232464,0.8789668273916911,0.7859649026935716,0.7751745971308801,0.7216922953778597,0.7551815594667252,0.7587406301253876,0.8579408779180021,0.47030632343559087,0.5531707728228326,-0.6648393092767039,-0.6756421943587754,0.7643579078189469,0.7874137373494116,0.13198059577965274,0.792043448831725,-0.8405712792306165,-0.7791719555422848,0.8227875979694513,0.8803556695890515,0.44092013091518034,0.615964247525985,0.18038092041272663,0.49428161261851805,0.5772190465011108,0.4878850295099761,0.41088208048787284,1.0000000000000007,-1.0000000000000007,-0.5630514429832361,-0.0597705202642571,-0.4121542829104582,-0.28893905993782254,-0.5737914522689693,-0.29698244660454814,-0.5920947023977227,-0.5420685341473938,-0.21001181041382938,0.5737913451126768,0.29698302897858575,-0.27126587913509254,-0.3890991141394968,-0.49695425274682725,0.14685243090484604,0.26525122073272006,0.5598879851186255,0.5437622226712214,-0.1259701577554969,-0.11595298038242041,-0.20732277589769668,-0.16888713666866345,-0.6849857436618785,0.3337893649970184,-0.5355891222284934,-0.1633805853581087,-0.3734317622302968,0.20199919362230845,0.15454467781963865,0.10998772736066989,0.34456910391803597,-0.6836705740601966,-0.8004798070620387
"Human capital index plus (HCI+): health pillar score, female (scale 0-50)",0.043601961539513324,0.7635685378169603,0.6754811996441211,0.7134782753904455,1.0,0.9304017754466944,0.9821909296429023,0.672814639650804,-0.49020166417711536,0.5007090532817063,0.8401374929267634,0.665189990217758,0.7766725545495875,0.11490946403189044,0.2739714876602185,0.8364601614632432,0.8216978887641002,0.8517892869509066,0.6358684734322351,0.39154061312819677,0.3868225032395952,0.36275141058618066,0.4274096240575305,0.8414351237235852,0.7679337095366993,0.1724268399679802,0.26238521315185237,-0.25175191713512074,-0.2875062177467936,0.7058903686139432,0.5482251473257421,0.09334657855916847,0.6638144894273984,-0.6127778056157245,-0.4988086448226176,0.6863880919321274,0.5391352417773266,-0.032705657837739904,0.5033915891250541,0.6918173202954483,0.6842152350232047,0.6111333861803431,0.1434126517158741,0.3701620997175609,1.0000000000000198,-1.0000000000000198,-0.3496542428622956,-0.4933335636965327,-0.1567188801069853,-0.0428324579632919,-0.7169287477122962,-0.2737577906576358,0.08287051954191733,-0.7078393975003302,-0.2553250266309086,0.7169285838350256,0.2737580121916244,-0.5969056210414145,-0.6226178609162908,-0.6622429499658592,0.18496204110230413,0.7127412460453617,0.7287342082258195,0.39264346234564657,-0.2722275415938978,-0.3877573891638546,-0.3465386367843611,-0.5103184503258534,-0.7801149459670488,0.17220068279764392,-0.5463437107701784,-0.4210765496859521,-0.7304352003418567,-0.28200259657583643,-0.07929139477308113,0.5300092620608895,0.5821972933540124,-0.5734773640029275,-0.6375498294588405
"Human capital index plus (HCI+): health pillar score, male (scale 0-50)",-0.06683526796834137,0.797997441704756,0.72018816974566,0.7632450909976974,0.9304017754466944,1.0,0.9824599664229124,0.717184162168491,-0.43570283930010467,0.5737068135614775,0.862306164241252,0.7287462912224089,0.8243498073633243,-0.050099268381021675,0.20607489333535509,0.919621248901365,0.9233990114420193,0.8748271438213506,0.6927250892136478,0.42588400311474406,0.4199852438239913,0.3817794156020586,0.46063906605039656,0.8715593211142905,0.8065754214592414,0.14537989431924572,0.2364351053706303,-0.3094598273109707,-0.3626282573419312,0.7389839145567111,0.5822821609656387,0.03308519754352058,0.7147953141503769,-0.6924700455561952,-0.6625330565672125,0.77680724925811,0.6216071550302504,-0.0556279159797054,0.450207965936947,0.6289350406238274,0.6033140111285934,0.7221524242491758,0.20663272535165064,0.24472269853076806,1.0000000000000115,-1.0000000000000115,-0.39263165371271885,-0.35643463004556974,-0.17160832519487437,-0.07067978706876323,-0.6583093606383651,-0.22249134246083369,0.05836324380608882,-0.6476576164302361,-0.20002825313494554,0.658309222362833,0.22249147585088036,-0.5144719729685564,-0.5493940805440501,-0.7091976061836903,0.10389973703781782,0.5999493885562056,0.6647605424252493,0.4395159558536267,-0.2123906018792958,-0.15625689825347505,-0.34842832608927665,-0.4314827180022657,-0.771589896031633,0.21515186739284614,-0.5213896721818709,-0.3064226285084061,-0.6655202947951273,-0.09538030791041212,0.0698370336311988,0.5733188866324368,0.6230810418420522,-0.6239262482771066,-0.6180685012577748
"Human capital index plus (HCI+): health pillar score, total (scale 0-50)",-0.00964082874069482,0.7966778139567217,0.7128609305291403,0.7545522628968299,0.9821909296429023,0.9824599664229124,1.0,0.7049048720182984,-0.468486857739093,0.5450602112069189,0.8673083188436755,0.7114495596694577,0.8167357868468273,0.027915448549555053,0.2431096735124864,0.8909944302935442,0.8868343048040894,0.8795679214489002,0.6761544319570227,0.4137011230000979,0.4083348305595463,0.3733641658426828,0.4470102725067231,0.868853162201143,0.7988826687877283,0.16217601225151354,0.25353333234823067,-0.2830131929045332,-0.3281634574559409,0.7324851524962858,0.5738116492074832,0.06280725711474895,0.699076402189747,-0.6604007936417335,-0.5861883602578374,0.7386893533727003,0.5878761598800302,-0.035331771683468814,0.4864768438107261,0.658310672071634,0.6422807433808622,0.6786181419411826,0.1840841950396451,0.31141580400119473,1.0000000000000142,-1.0000000000000144,-0.38855324003840963,-0.4335205163134401,-0.16366010907685052,-0.05432269613319655,-0.7014976485431657,-0.25973695451289125,0.07206350514306332,-0.6917455801363841,-0.23939374330470234,0.7014974989032643,0.2597371381045412,-0.5691386602699166,-0.5978397529348182,-0.6927552735927192,0.1510865999106599,0.6671435802747349,0.704753473332316,0.4233161494611248,-0.24483292304323231,-0.279585420089352,-0.3529076047492022,-0.48182137586901264,-0.791309154033635,0.19594899647419853,-0.5437455540212978,-0.3731565961706788,-0.7138414786873291,-0.19442466912670256,-0.00825460673115044,0.5588322521881314,0.612937162731578,-0.6147588082703734,-0.6450349889723105
"Human capital index plus (HCI+): on-the-job learning pillar score, female (scale -30-87)",0.019492398470186537,0.691558957987506,0.6328078258759673,0.6616898526456632,0.672814639650804,0.717184162168491,0.7049048720182984,1.0,-0.3678995927172653,0.8939132290592203,0.8442893541423737,0.6720809906693385,0.7869848869464521,-0.24619961181330774,0.25104738506949553,0.646676442645435,0.6765755899555892,0.6679198740963731,0.7856600717028527,0.420207634211684,0.42948744231038566,0.5083784105662373,0.5715590550146485,0.5888347810813258,0.700878504441467,0.18801100438383583,0.2941087011782852,-0.438921588395559,-0.47737147670386787,0.6503622462934945,0.6054846837330119,0.11488181731989353,0.6907144264188236,-0.7496166229435758,-0.6627219203120337,0.7166317431549467,0.46928443082391946,-0.7715186383423097,-0.44428389384225014,0.6410483961074395,0.7260601250059102,0.760747281550893,-0.004759471286146202,0.5446844884909743,-1.0000000000000004,1.0000000000000009,-0.09492883420129138,0.01781745674264092,-0.420135692078866,-0.23080388209168753,-0.3055760371676568,0.16276101552540606,-0.3772055404714463,-0.27160859477738025,0.2075849625350825,0.30557579020532566,-0.16276091805594758,-0.059860645104442514,-0.1730273497414229,-0.8448967210003829,0.15424719715288474,0.29505029596296756,0.6032697474466893,0.814727948103072,0.21353991203775122,0.152767395305489,-0.04184619510970139,0.2131190989815548,-0.3842699295435514,0.694560865661147,-0.0928702500918089,0.2226666400562709,-0.22242959037115337,0.28269540292843054,0.44499378712050247,0.45591877676237014,0.4333817539352196,-0.5342184083726728,-0.30093012245199946
"Human capital index plus (HCI+): on-the-job learning pillar score, male (scale -30-87)",0.19564314520337317,-0.6655242859732357,-0.5872855341853835,-0.5772667935726413,-0.49020166417711536,-0.43570283930010467,-0.468486857739093,-0.3678995927172653,1.0,0.08380734984213013,-0.6339660944061472,-0.4810662678251516,-0.5353297737679553,-0.6186527374525028,-0.29544851118137555,-0.3703163602056732,-0.38291001195762603,-0.5787639111140757,-0.480772843730258,-0.47067457467108015,-0.4558182190263269,-0.5004343079714024,-0.5073155811658056,-0.38937096476649935,-0.3925768530676689,-0.34958874967388154,-0.35280781255278765,0.47195985018152364,0.4495273698821494,-0.705210869781739,-0.6381497803055833,-0.3047980654220023,-0.4949369746022942,0.5581270252677449,0.40012074842845236,-0.5621226548264107,-0.6440877816556765,0.18003324457922476,0.4141295498926797,-0.0508835855502689,-0.19302574896940602,-0.614760991128395,-0.023855881900691735,-0.07462000779370243,-1.0000000000000013,1.0000000000000013,-0.24056534179831005,0.22536706652849783,0.2677311056481647,0.33265934860427965,0.27737472986946404,-0.15413138651145683,0.389948348539682,0.2565454835454616,-0.22079445494893324,-0.2773750436385574,0.1541308280944899,0.16812248361674467,0.306392281063311,0.34868793393372766,-0.3055398852113389,-0.3433681590007331,-0.5986345140239028,-0.38290494430399,0.2937833165973009,0.08001392070490132,-0.16169479640805515,0.13279781866141396,0.5555396627863672,-0.2888525312759488,0.4407378359657968,-0.008889335977657889,0.34306280075861945,0.09531525507054266,0.148331626551482,-0.36355612063081244,-0.4483209965789748,0.41277700861461636,0.42636728503811044
"Human capital index plus (HCI+): on-the-job learning pillar score, total (scale -30-87)",0.0858130399647168,0.47409174516075886,0.4462647211881367,0.48178360822097077,0.5007090532817063,0.5737068135614775,0.5450602112069189,0.8939132290592203,0.08380734984213013,1.0,0.6471277216361526,0.5365894864518522,0.6327048439860213,-0.38569319056254564,0.13068929727419704,0.5110324505719832,0.53449197698321,0.45021117615001655,0.6188178671320606,0.23901624171246516,0.25515914268408446,0.34487764254919756,0.41019842826688574,0.4698583443367671,0.5875912324475528,0.05323320650944209,0.17453232950897,-0.2491082545110423,-0.30700996645016004,0.3888327777585519,0.3716857650909721,-0.04956171877039659,0.5316617243564412,-0.5673900527325539,-0.5504926372277688,0.5612160430036836,0.24745948470144313,-0.4733774481757517,-0.05414783049855435,0.6944302116423996,0.7357509103643196,0.5905261294310621,0.004911644043935667,0.5694078553157317,-0.9999999999999998,1.0,-0.20344021236399432,0.13387677538367163,-0.3376813552313266,-0.10454635967933366,-0.200115311046662,0.10144169890019193,-0.2230014839610021,-0.17236474034451008,0.12103648013645317,0.20011488907372066,-0.10144185327973824,0.02185163482520919,-0.03500259124878541,-0.7493042701602656,-0.0130818863707702,0.1492343592255047,0.36721270378567294,0.6722370137925827,0.34615648133539706,0.18281178817889646,-0.16676581365710924,0.2864169453204852,-0.18175100675643088,0.5905096986290554,0.0937709451511852,0.2155375890154188,-0.10195035639747722,0.33507049916915904,0.5334200189901094,0.3100350408598967,0.25517599218289067,-0.3686497540744738,-0.127163910709692
